A(SA=100CA||SA=0.01CA),range,D
SA=100CA||SA=0.01CA,range,D
SA!=CA,value,C
SA=100CA||SA=0.01CA,percent,C
SA!=CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
A(SA=100CA||SA=0.01CA),range,D
SA=100CA||SA=0.01CA,range,D
E(SA!=CA),value,C
SA=100CA||SA=0.01CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
A(SA=100CA||SA=0.01CA),range,D
SA=100CA||SA=0.01CA,range,D
E(SA=-CA),value,C
SA=100CA||SA=0.01CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
A(SA=100CA||SA=0.01CA),range,D
SA=100CA||SA=0.01CA,range,D
SA1!=CA1&&SA2=CA2,placement,G
SA1=CA1&&SA2!=CA2,placement,G
SA1!=CA1&&SA2!=CA2,placement,G
SA!=CA,value,C
SA=100CA||SA=0.01CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
A(SA=100CA||SA=0.01CA),range,D
A(SA=100CA||SA=0.01CA),range,D
SA=100CA||SA=0.01CA,range,D
,choice,M
,choice,M
,value,C
A(SA=100CA||SA=0.01CA),range,D
E(SA>1),value,C
,range,D
SA!=CA,value,C
SA1!=CA1&&SA2=CA2,placement,G
SA1=CA1&&SA2!=CA2,placement,G
SA1!=CA1&&SA2!=CA2,placement,G
SA!=CA,value,C
SA=100CA||SA=0.01CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
SA1!=CA1&&SA2=CA2,placement,G
SA1=CA1&&SA2!=CA2,placement,G
SA1!=CA1&&SA2!=CA2,placement,G
SA!=CA,value,C
SA!=CA,value,C
SA=100CA||SA=0.01CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
SA1!=CA1,placement,G
SA2!=CA2,placement,G
CA1-0.05<SA1<CA1+0.05,value,C
SA2!=CA2,value,C
SA=100CA||SA=0.01CA,percent,C
SA=-CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
SA!=CA,choice,M
SA!=CA,value,C
SA!=CA,value,C
SA!=CA,choice,M
SA!=CA,value,D
SA!=CA,value,C
SA!=CA,value,C
SA!=CA,choice,M
SA!=CA,value,C
SA!=CA,value,C
SA=100CA||SA=0.01CA,percent,C
SA!=CA,percent,C
CA-0.05<SA<CA+0.05,percent,C
,value,D
